[SYS] 2024/01/02 - 10:29:25 | One API  started 
[SYS] 2024/01/02 - 10:29:25 | using MySQL as database 
[FATAL] 2024/01/02 - 10:29:25 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2024/01/02 - 10:29:26 | One API  started 
[SYS] 2024/01/02 - 10:29:26 | using MySQL as database 
[SYS] 2024/01/02 - 10:29:26 | database migration started 
[SYS] 2024/01/02 - 10:29:26 | database migrated 
[SYS] 2024/01/02 - 10:29:26 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2024/01/02 - 10:29:26 | initializing token encoders 
[SYS] 2024/01/02 - 10:29:26 | token encoders initialized 
[GIN] 2024/01/02 - 10:50:30 | 20240102105030508320415k0uKuklW | 200 |      33.379µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:51:00 | 20240102105100562090038wFjtoqjy | 200 |      52.887µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:51:30 | 20240102105130651887306l6oGAtau | 200 |      51.181µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:52:00 | 20240102105200747834522wAtQULxK | 200 |      45.779µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:52:30 | 20240102105230837290961JgE1w7Tc | 200 |      58.427µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:53:00 | 20240102105300917514032qfGbQHAr | 200 |      60.248µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:53:30 | 20240102105330977327297fd68gp58 | 200 |      40.933µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:54:01 | 2024010210540137576144gmUvZUdL | 200 |      28.013µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:54:31 | 20240102105431153160941rVJRYzdi | 200 |      55.199µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:55:01 | 20240102105501265406340465Pxyq1 | 200 |      52.301µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:55:31 | 202401021055313382014280uhM0mjr | 200 |      79.241µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:56:01 | 20240102105601388881708WHhbS8zJ | 200 |      29.216µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:56:31 | 20240102105631469266903oKtPPKbq | 200 |      45.768µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:57:01 | 20240102105701532882811hsn90Eho | 200 |      35.387µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:57:31 | 20240102105731596226951MFjb3eAN | 200 |      83.611µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:58:01 | 2024010210580168123981086FnmyeL | 200 |      30.922µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:58:31 | 20240102105831789855471yNKT54U9 | 200 |      59.025µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:59:01 | 20240102105901889274932DhODmyZz | 200 |      41.539µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 10:59:31 | 20240102105931989967099MoB5jX7C | 200 |      65.525µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:00:02 | 2024010211000259537307vGFpo2HW | 200 |      55.329µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:00:32 | 202401021100321249317481L9ioCxb | 200 |       31.57µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:01:02 | 20240102110102180271332KPhidam5 | 200 |      34.536µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:01:32 | 20240102110132289369918sUVpWG73 | 200 |      62.621µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:02:02 | 20240102110202344944773WOcwHuCZ | 200 |      34.845µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:02:32 | 20240102110232388982402B7j0y3KF | 200 |      45.481µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:03:02 | 20240102110302469605099JZaCsdtq | 200 |      60.298µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:03:32 | 20240102110332584246809EWvGQmbx | 200 |      65.796µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:04:02 | 20240102110402684253829zi6sfA7G | 200 |      37.299µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:04:32 | 202401021104327451727982uNCVVlL | 200 |      33.115µs |       127.0.0.1 |     GET /api/status
